SAMPLE_ID	Type	setClass
SC623740	Tumor	Sherlock
SC623638	Tumor	Sherlock
SC623558	Tumor	Sherlock
SC623721	Tumor	Sherlock
SC623434	Tumor	Sherlock
SC623675	Tumor	Sherlock
SC623472	Tumor	Sherlock
SC623331	Tumor	Sherlock
SC623277	Tumor	Sherlock
SC766629	Tumor	Sherlock
SC766772	Tumor	Sherlock
SC766841	Tumor	Sherlock
SC767060	Tumor	Sherlock
SC766997	Tumor	Sherlock
SC623070	Tumor	Sherlock
SC623111	Tumor	Sherlock
SC623038	Tumor	Sherlock
SC623659	Tumor	Sherlock
SC623521	Tumor	Sherlock
SC623711	Tumor	Sherlock
SC623736	Tumor	Sherlock
SC623678	Tumor	Sherlock
SC623673	Tumor	Sherlock
SC623524	Tumor	Sherlock
SC623489	Tumor	Sherlock
SC623462	Tumor	Sherlock
SC623727	Tumor	Sherlock
SC623536	Tumor	Sherlock
SC623457	Tumor	Sherlock
SC623662	Tumor	Sherlock
SC623657	Tumor	Sherlock
SC623690	Tumor	Sherlock
SC623570	Tumor	Sherlock
SC623603	Tumor	Sherlock
SC623601	Tumor	Sherlock
SC623720	Tumor	Sherlock
SC623568	Tumor	Sherlock
SC623478	Tumor	Sherlock
SC623494	Tumor	Sherlock
SC623689	Tumor	Sherlock
SC623618	Tumor	Sherlock
SC623634	Tumor	Sherlock
Y339140	Tumor	Sherlock
SC767184	Tumor	Sherlock
SC767076	Tumor	Sherlock
SC767117	Tumor	Sherlock
SC766781	Tumor	Sherlock
SC623637	Tumor	Sherlock
SC623508	Tumor	Sherlock
SC623214	Tumor	Sherlock
SC623693	Tumor	Sherlock
SC623159	Tumor	Sherlock
SC623048	Tumor	Sherlock
SC623050	Tumor	Sherlock
SC623080	Tumor	Sherlock
SC623079	Tumor	Sherlock
SC623002	Tumor	Sherlock
SC766838	Tumor	Sherlock
SC623017	Tumor	Sherlock
SC623353	Tumor	Sherlock
SC623245	Tumor	Sherlock
SC623709	Tumor	Sherlock
SC623004	Tumor	Sherlock
SC767275	Tumor	Sherlock
SC623143	Tumor	Sherlock
SC767289	Tumor	Sherlock
SC623390	Tumor	Sherlock
SC766828	Tumor	Sherlock
SC623745	Tumor	Sherlock
SC767309	Tumor	Sherlock
SC623372	Tumor	Sherlock
SC623254	Tumor	Sherlock
Y611140	Tumor	Sherlock
SC623708	Tumor	Sherlock
SC623239	Tumor	Sherlock
SC766969	Tumor	Sherlock
SC623622	Tumor	Sherlock
SC623424	Tumor	Sherlock
SC623230	Tumor	Sherlock
SC623584	Tumor	Sherlock
SC767324	Tumor	Sherlock
SC623322	Tumor	Sherlock
SC767140	Tumor	Sherlock
SC623523	Tumor	Sherlock
SC623112	Tumor	Sherlock
